grantee,table_schema,table_name,privilege_type
dashboard_user,auth,users,DELETE
dashboard_user,auth,users,INSERT
dashboard_user,auth,users,REFERENCES
dashboard_user,auth,users,SELECT
dashboard_user,auth,users,TRIGGER
dashboard_user,auth,users,TRUNCATE
dashboard_user,auth,users,UPDATE
postgres,auth,users,DELETE
postgres,auth,users,INSERT
postgres,auth,users,REFERENCES
postgres,auth,users,SELECT
postgres,auth,users,TRIGGER
postgres,auth,users,TRUNCATE
postgres,auth,users,UPDATE
supabase_auth_admin,auth,users,DELETE
supabase_auth_admin,auth,users,INSERT
supabase_auth_admin,auth,users,REFERENCES
supabase_auth_admin,auth,users,SELECT
supabase_auth_admin,auth,users,TRIGGER
supabase_auth_admin,auth,users,TRUNCATE
supabase_auth_admin,auth,users,UPDATE
