routine_schema,routine_name,routine_type
public,assign_region_admin,FUNCTION
public,assign_school_admin,FUNCTION
public,assign_sector_admin,FUNCTION
public,assign_sector_admin,FUNCTION
public,check_approval_permissions,FUNCTION
public,check_region_name_uniqueness,FUNCTION
public,delete_user_roles,FUNCTION
public,fix_null_confirmation_tokens,FUNCTION
public,fix_null_email_fields,FUNCTION
public,get_auth_user_role,FUNCTION
public,get_full_user_data,FUNCTION
public,get_regions_with_admin_emails,FUNCTION
public,get_sector_admin_email,FUNCTION
public,get_user_emails_by_ids,FUNCTION
public,get_user_region_id,FUNCTION
public,get_user_role,FUNCTION
public,get_user_role_safe,FUNCTION
public,handle_new_user,FUNCTION
public,has_access_to_region,FUNCTION
public,has_access_to_sector,FUNCTION
public,has_region_access,FUNCTION
public,has_role,FUNCTION
public,has_role_safe,FUNCTION
public,has_sector_access,FUNCTION
public,is_admin_of_entity,FUNCTION
public,is_regionadmin,FUNCTION
public,is_superadmin,FUNCTION
public,safe_get_user_by_email,FUNCTION
public,safe_get_user_by_id,FUNCTION
public,sync_admin_on_user_role_change,FUNCTION
public,sync_email_to_profile,FUNCTION
public,sync_user_email_to_profile,FUNCTION
public,update_admin_emails,FUNCTION
public,update_admin_emails_and_ids,FUNCTION
public,uuid_generate_v4,FUNCTION
